"Instituto Nacional de Estadística y Geografía",
"",
"Principales índices (mensual)",
"Fecha de consulta: 24/06/2026 08:16:12",

"Título","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Principales índices, INPP mercancías excluyendo petróleo","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)"
"Cifra","","",""
"Fecha","865541","1380001","865546"
"Sep 2015","87.752419015566","80.384149840815","87.752419015566"
"Oct 2015","88.203918504718","80.506352014378","88.203918504718"
"Nov 2015","88.685467876675","80.743826696335","88.685467876675"
"Dic 2015","89.046817717411","81.133348836961","89.046817717411"
"Ene 2016","89.386381393113","82.286346005587","89.386381393113"
"Feb 2016","89.777781116654","83.312980729280","89.777781116654"
"Mar 2016","89.910000600998","83.137839865980","89.910000600998"
"Abr 2016","89.625277961416","83.391654200638","89.625277961416"
"May 2016","89.225614520103","84.143166217702","89.225614520103"
"Jun 2016","89.324027886291","85.159028762094","89.324027886291"
"Jul 2016","89.556914478034","85.539751347326","89.556914478034"
"Ago 2016","89.809333493599","85.764650892968","89.809333493599"
"Sep 2016","90.357743854799","86.920897715224","90.357743854799"
"Oct 2016","90.906154215999","87.073463551004","90.906154215999"
"Nov 2016","91.616833944348","88.557029940636","91.616833944348"
"Dic 2016","92.039034797764","89.465812261259","92.039034797764"
"Ene 2017","93.603882444858","91.605166866581","93.603882444858"
"Feb 2017","94.144780335357","92.002633304469","94.144780335357"
"Mar 2017","94.722489332292","91.607995742507","94.722489332292"
"Abr 2017","94.838932628163","91.164711117476","94.838932628163"
"May 2017","94.725494320572","91.437478942335","94.725494320572"
"Jun 2017","94.963639641805","90.961588792431","94.963639641805"
"Jul 2017","95.322735741331","90.676108442369","95.322735741331"
"Ago 2017","95.793767654306","90.837119107977","95.793767654306"
"Sep 2017","96.093515235291","90.974688729023","96.093515235291"
"Oct 2017","96.698269126750","92.145164567799","96.698269126750"
"Nov 2017","97.695173988821","93.179554084067","97.695173988821"
"Dic 2017","98.272882985756","93.396237023490","98.272882985756"
"Ene 2018","98.794999699501","94.413992438805","98.794999699501"
"Feb 2018","99.171374481640","94.551615221879","99.171374481640"
"Mar 2018","99.492156980588","94.937029753470","99.492156980588"
"Abr 2018","99.154847046097","94.886078413794","99.154847046097"
"May 2018","98.994080173087","96.387190898068","98.994080173087"
"Jun 2018","99.376464931787","97.787345135992","99.376464931787"
"Jul 2018","99.909099104514","96.778240503832","99.909099104514"
"Ago 2018","100.492000000000","96.730976839547","100.492000000000"
"Sep 2018","100.917000000000","97.320367985031","100.917000000000"
"Oct 2018","101.440000000000","97.605115602489","101.440000000000"
"Nov 2018","102.303000000000","99.433739258381","102.303000000000"
"Dic 2018","103.020000000000","99.728535997683","103.020000000000"
"Ene 2019","103.108000000000","99.175172156238","103.108000000000"
"Feb 2019","103.079000000000","99.098088106875","103.079000000000"
"Mar 2019","103.476000000000","99.293384890931","103.476000000000"
"Abr 2019","103.531000000000","99.376363261107","103.531000000000"
"May 2019","103.233000000000","99.472729310772","103.233000000000"
"Jun 2019","103.299000000000","100.009205182187","103.299000000000"
"Jul 2019","103.687000000000","100.000000000000","103.687000000000"
"Ago 2019","103.670000000000","100.014327488918","103.670000000000"
"Sep 2019","103.942000000000","100.574108102282","103.942000000000"
"Oct 2019","104.503000000000","100.335730236156","104.503000000000"
"Nov 2019","105.346000000000","100.433255166156","105.346000000000"
"Dic 2019","105.934000000000","100.403950095513","105.934000000000"
"Ene 2020","106.447000000000","100.068360022229","106.447000000000"
"Feb 2020","106.889000000000","100.538819031664","106.889000000000"
"Mar 2020","106.838000000000","104.181119660340","106.838000000000"
"Abr 2020","105.755000000000","107.374754678725","105.755000000000"
"May 2020","106.162000000000","106.627703671970","106.162000000000"
"Jun 2020","106.743000000000","105.408492647158","106.743000000000"
"Jul 2020","107.444000000000","106.680450414230","107.444000000000"
"Ago 2020","107.867000000000","106.960259170831","107.867000000000"
"Sep 2020","108.114000000000","106.348825266856","108.114000000000"
"Oct 2020","108.774000000000","106.410315991533","108.774000000000"
"Nov 2020","108.856000000000","105.984808961298","108.856000000000"
"Dic 2020","109.271000000000","105.626641247630","109.271000000000"
"Ene 2021","110.210000000000","106.680531923733","110.210000000000"
"Feb 2021","110.907000000000","107.915133360142","110.907000000000"
